Subject,Sex,Age,Monolingual?,Sign Language?,Trial Number,Type of Action,Event,Trial Type,Word Order,Patient_Present,P_before_A,Exclude,Object Type,Spatial Cue
7,,,,,21,Transitive,Boy lifts girl,Gesture,SV,1,,1,Person,
7,,,,,22,Transitive,Girl rubs heart,Gesture,SOV,1,1,,Object,
7,,,,,23,Intransitive,Car tumbles,Gesture,SV,0,,,None,
7,,,,,24,Transitive,Old lady elbows ball,Gesture,OSV,1,1,,Object,
7,,,,,25,Transitive,Fireman pushes boy,Gesture,SOV,1,1,,Person,
7,,,,,26,Intransitive,Old lady jumps,Gesture,SV,0,,,None,
7,,,,,27,Transitive,Girl pushes car,Gesture,SOV,1,1,,Object,
7,,,,,28,Transitive,Boy kicks ball,Gesture,SOV,1,1,,Object,
8,F,,,,2,Intransitive,Star moves in circle,Verbal,SV,0,0,,None,
8,,,,,3,Transitive,Old lady waves heart,Verbal,SVO,1,0,,Object,
8,,,,,5,Transitive,Boy kicks ball,Verbal,SVO,1,0,,Object,
8,,,,,6,Transitive,Girl pushes car,Verbal,SVO,1,0,,Object,
8,,,,,7,Intransitive,Old lady jumps,Verbal,SV,0,0,,None,
8,,,,,8,Transitive,Fireman pushes boy,Verbal,SVO,1,0,,Person,
8,,,,,9,Transitive,Old lady elbows ball,Verbal,SVO,1,0,,Object,
8,,,,,10,Intransitive,Car tumbles,Verbal,SV,0,0,,None,
8,,,,,11,Transitive,Girl rubs heart,Verbal,SVO,1,0,,Object,
8,,,,,12,Transitive,Boy lifts girl,Verbal,SVO,1,0,,Person,
8,,,,,13,Transitive,Fireman throws star,Verbal,SVO,1,0,,Object,
8,,,,,14,Intransitive,Ball rolls,Verbal,SV,0,0,,None,
8,,,,,15,Transitive,Girl elbows old lady,Verbal,SVO,1,0,,Person,
8,,,,,16,Intransitive,Boy skates,Verbal,SV,0,0,,None,
8,,,,,17,Transitive,Fireman kicks girl,Verbal,SVO,1,0,,Person,
8,,,,,18,Transitive,Old lady kisses star,Verbal,SVO,1,0,,Object,
8,,,,,19,Transitive,Old lady rubs fireman,Verbal,SVO,1,0,,Person,
8,,,,,20,Transitive,Girl throws old lady,Verbal,SVO,1,0,,Person,
8,,,,,21,Intransitive,Star jumps,Verbal,SV,0,0,,None,
8,,,,,22,Intransitive,Fireman falls,Verbal,SV,0,0,,None,
8,,,,,23,Intransitive,Heart falls,Verbal,SV,0,0,,None,
8,,,,,24,Transitive,Boy pokes heart,Verbal,SVO,1,0,,Object,
8,,,,,25,Transitive,Fireman lifts car,Verbal,SVO,1,0,,Object,
8,,,,,26,Transitive,Old lady pokes fireman,Verbal,SVO,1,0,,Person,
8,,,,,27,Intransitive,Girl tumbles,Verbal,SV,0,0,,None,
8,,,,,28,Transitive,Girl kisses boy,Verbal,SVO,1,0,,Person,
8,,,,,2,Intransitive,Star moves in circle,Gesture,SV,0,,,None,
8,,,,,3,Transitive,Old lady waves heart,Gesture,SOV,1,1,,Object,1
8,,,,,5,Transitive,Boy kicks ball,Gesture,SOV,1,1,,Object,
8,,,,,6,Transitive,Girl pushes car,Gesture,SV,1,,1,Object,
8,,,,,7,Intransitive,Old lady jumps,Gesture,SV,0,,,None,
8,,,,,8,Transitive,Fireman pushes boy,Gesture,SVO,1,,,Person,
8,,,,,9,Transitive,Old lady elbows ball,Gesture,SVO,1,,,Object,
8,,,,,10,Intransitive,Car tumbles,Gesture,SV,0,,,None,
8,,,,,11,Transitive,Girl rubs heart,Gesture,SOV,1,1,,Object,
8,,,,,12,Transitive,Boy lifts girl,Gesture,SVO,1,,,Person,
8,,,,,13,Transitive,Fireman throws star,Gesture,SVO,1,,,Object,
8,,,,,14,Intransitive,Ball rolls,Gesture,SV,0,,,None,
8,,,,,15,Transitive,Girl elbows old lady,Gesture,SVO,1,,,Person,
8,,,,,16,Intransitive,Boy skates,Gesture,SV,0,,,None,
8,,,,,17,Transitive,Fireman kicks girl,Gesture,SVO,1,,,Person,
8,,,,,18,Transitive,Old lady kisses star,Gesture,SVO,1,,,Object,
8,,,,,19,Transitive,Old lady rubs fireman,Gesture,SVO,1,,,Person,
8,,,,,20,Transitive,Girl throws old lady,Gesture,SVO,1,,,Person,
8,,,,,21,Intransitive,Star jumps,Gesture,SV,0,,,None,
8,,,,,22,Intransitive,Fireman falls,Gesture,SV,0,,,None,
8,,,,,23,Intransitive,Heart falls,Gesture,SV,0,,,None,
8,,,,,24,Transitive,Boy pokes heart,Gesture,SOV,1,1,,Object,
8,,,,,25,Transitive,Fireman lifts car,Gesture,SVO,1,,,Object,
8,,,,,26,Transitive,Old lady pokes fireman,Gesture,SVO,1,,,Person,
8,,,,,27,Intransitive,Girl tumbles,Gesture,SV,0,,,None,
8,,,,,28,Transitive,Girl kisses boy,Gesture,SVO,1,,,Person,
9,,,,,2,Intransitive,Star moves in circle,Speech,SV,0,0,,None,
9,,,,,3,Transitive,Old lady waves heart,Speech,SVO,1,0,,Object,
9,,,,,5,Transitive,Girl kisses boy,Speech,SVO,1,0,,Person,
9,,,,,6,Intransitive,Girl tumbles,Speech,SV,0,0,,None,
9,,,,,7,Transitive,Old lady pokes fireman,Speech,SVO,1,0,,Person,
9,,,,,8,Transitive,Fireman lifts car,Speech,SVO,1,0,,Object,
9,,,,,9,Transitive,Boy pokes heart,Speech,SVO,1,0,,Object,
9,,,,,10,Intransitive,Heart falls,Speech,SV,0,0,,None,
9,,,,,11,Intransitive,Fireman falls,Speech,SV,0,0,,None,
9,,,,,12,Intransitive,Star jumps,Speech,SV,0,0,,None,
9,,,,,13,Transitive,Girl throws old lady,Speech,SVO,1,0,,Person,
9,,,,,14,Transitive,Old lady rubs fireman,Speech,SVO,1,0,,Person,
9,,,,,15,Transitive,Old lady kisses star,Speech,SVO,1,0,,Object,
9,,,,,16,Transitive,Fireman kicks girl,Speech,SVO,1,0,,Person,
9,,,,,17,Intransitive,Boy skates,Speech,SV,0,0,,None,
9,,,,,18,Transitive,Girl elbows old lady,Speech,SV,0,0,,Person,
9,,,,,19,Intransitive,Ball rolls,Speech,SV,0,0,,None,
9,,,,,20,Transitive,Fireman throws star,Speech,SVO,1,0,,Object,
9,,,,,21,Transitive,Boy lifts girl,Speech,SVO,1,0,,Person,
9,,,,,22,Transitive,Girl rubs heart,Speech,SVO,1,0,,Object,
9,,,,,23,Intransitive,Car tumbles,Speech,SV,0,0,,None,
9,,,,,24,Transitive,Old lady elbows ball,Speech,SVO,1,0,,Object,
9,,,,,25,Transitive,Fireman pushes boy,Speech,SVO,1,0,,Person,
9,,,,,26,Intransitive,Old lady jumps,Speech,SV,0,0,,None,
9,,,,,27,Transitive,Girl pushes car,Speech,SVO,1,0,,Object,
9,,,,,28,Transitive,Boy kicks ball,Speech,SVO,1,0,,Object,
9,,,,,2,Intransitive,Star moves in circle,Gesture,SV,0,,,None,
9,,,,,3,Transitive,Old lady waves heart,Gesture,OV,1,1,,Object,
9,,,,,5,Transitive,Girl kisses boy,Gesture,V,1,,1,Person,
9,,,,,6,Intransitive,Girl tumbles,Gesture,V,0,,,None,
9,,,,,7,Transitive,Old lady pokes fireman,Gesture,SOSV,1,1,,Person,1
9,,,,,8,Transitive,Fireman lifts car,Gesture,OV,1,1,,Object,
9,,,,,9,Transitive,Boy pokes heart,Gesture,SOV,1,1,,Object,
9,,,,,10,Intransitive,Heart falls,Gesture,SV,0,,,None,
9,,,,,11,Intransitive,Fireman falls,Gesture,SV,0,,,None,
9,,,,,12,Intransitive,Star jumps,Gesture,SV,0,,,None,
9,,,,,13,Transitive,Girl throws old lady,Gesture,SOV,1,1,,Person,
9,,,,,14,Transitive,Old lady rubs fireman,Gesture,"SO, SVO",1,,,Person,1
9,,,,,15,Transitive,Old lady kisses star,Gesture,"SO, SVO",1,,,Object,1
9,,,,,16,Transitive,Fireman kicks girl,Gesture,SVO,1,,,Person,1
9,,,,,17,Intransitive,Boy skates,Gesture,SV,0,,,None,
9,,,,,18,Transitive,Girl elbows old lady,Gesture,SVO,1,,,Person,1
9,,,,,19,Intransitive,Ball rolls,Gesture,SV,0,,,None,
9,,,,,20,Transitive,Fireman throws star,Gesture,SOV,1,1,,Object,1
9,,,,,21,Transitive,Boy lifts girl,Gesture,SVO,1,,,Person,1
9,,,,,22,Transitive,Girl rubs heart,Gesture,SVO,1,,,Object,1
9,,,,,23,Intransitive,Car tumbles,Gesture,SV,0,,,None,
9,,,,,24,Transitive,Old lady elbows ball,Gesture,SVO,1,,,Object,1
9,,,,,25,Transitive,Fireman pushes boy,Gesture,SVO,1,,,Person,
9,,,,,26,Intransitive,Old lady jumps,Gesture,SV,0,,,None,1
9,,,,,27,Transitive,Girl pushes car,Gesture,SOV,1,1,,Object,1
9,,,,,28,Transitive,Boy kicks ball,Gesture,SVO,1,,,Object,1
10,F,,,,2,Intransitive,Star moves in circle,Verbal,SV,0,0,,None,
10,,,,,3,Transitive,Old lady waves heart,Verbal,SVO,1,0,,Object,
10,,,,,5,Transitive,Boy kicks ball,Verbal,SVO,1,0,,Object,
10,,,,,6,Transitive,Girl pushes car,Verbal,SVO,1,0,,Object,
10,,,,,7,Intransitive,Old lady jumps,Verbal,SV,0,0,,None,
10,,,,,8,Transitive,Fireman pushes boy,Verbal,SVO,1,0,,Person,
10,,,,,9,Transitive,Old lady elbows ball,Verbal,SVO,1,0,,Object,
10,,,,,10,Intransitive,Car tumbles,Verbal,SV,0,0,,None,
10,,,,,11,Transitive,Girl rubs heart,Verbal,SVO,1,0,,Object,
10,,,,,12,Transitive,Boy lifts girl,Verbal,SVO,1,0,,Person,
10,,,,,13,Transitive,Fireman throws star,Verbal,SVO,1,0,,Object,
10,,,,,14,Intransitive,Ball rolls,Verbal,SV,0,0,,None,
10,,,,,15,Transitive,Girl elbows old lady,Verbal,SVO,1,0,,Person,
10,,,,,16,Intransitive,Boy skates,Verbal,SV,0,0,,None,
10,,,,,17,Transitive,Fireman kicks girl,Verbal,SVO,1,0,,Person,
10,,,,,18,Transitive,Old lady kisses star,Verbal,SVO,1,0,,Object,
10,,,,,19,Transitive,Old lady rubs fireman,Verbal,SVO,1,0,,Person,
10,,,,,20,Transitive,Girl throws old lady,Verbal,SVO,1,0,,Person,
10,,,,,21,Intransitive,Star jumps,Verbal,SV,0,0,,None,
10,,,,,22,Intransitive,Fireman falls,Verbal,SV,0,0,,None,
10,,,,,23,Intransitive,Heart falls,Verbal,SV,0,0,,None,
10,,,,,24,Transitive,Boy pokes heart,Verbal,SVO,1,0,,Object,
10,,,,,25,Transitive,Fireman lifts car,Verbal,SVO,1,0,,Object,
10,,,,,26,Transitive,Old lady pokes fireman,Verbal,SVO,1,0,,Person,
10,,,,,27,Intransitive,Girl tumbles,Verbal,SV,0,0,,None,
10,,,,,28,Transitive,Girl kisses boy,Verbal,SVO,1,0,,Person,
10,,,,,2,Intransitive,Star moves in circle,Gesture,SV,0,,,None,
10,,,,,3,Transitive,Old lady waves heart,Gesture,SOV,1,1,,Object,1
10,,,,,5,Transitive,Boy kicks ball,Gesture,SOV,1,1,,Object,1
10,,,,,6,Transitive,Girl pushes car,Gesture,SOV,1,1,,Object,1
10,,,,,7,Intransitive,Old lady jumps,Gesture,SV,0,,,None,
10,,,,,8,Transitive,Fireman pushes boy,Gesture,SVO,1,,,Person,
10,,,,,9,Transitive,Old lady elbows ball,Gesture,SVO,1,,,Object,
10,,,,,10,Intransitive,Car tumbles,Gesture,SV,0,,,None,
10,,,,,11,Transitive,Girl rubs heart,Gesture,SOV,1,1,,Object,1
10,,,,,12,Transitive,Boy lifts girl,Gesture,SVO,1,,,Person,
10,,,,,13,Transitive,Fireman throws star,Gesture,SV+OV,1,,,Object,
10,,,,,14,Intransitive,Ball rolls,Gesture,SV,0,,,None,
10,,,,,15,Transitive,Girl elbows old lady,Gesture,SVO,1,,,Person,
10,,,,,16,Intransitive,Boy skates,Gesture,SV,0,,,None,
10,,,,,17,Transitive,Fireman kicks girl,Gesture,SVO,1,,,Person,
10,,,,,18,Transitive,Old lady kisses star,Gesture,SOV,1,1,,Object,1
10,,,,,19,Transitive,Old lady rubs fireman,Gesture,SVO,1,,,Person,
10,,,,,20,Transitive,Girl throws old lady,Gesture,SVO,1,,,Person,
10,,,,,21,Intransitive,Star jumps,Gesture,SV,0,,,None,
10,,,,,22,Intransitive,Fireman falls,Gesture,SV,0,,,None,
10,,,,,23,Intransitive,Heart falls,Gesture,SV,0,,,None,
10,,,,,24,Transitive,Boy pokes heart,Gesture,SVO,1,,,Object,1
10,,,,,25,Transitive,Fireman lifts car,Gesture,OSV,1,1,,Object,
10,,,,,26,Transitive,Old lady pokes fireman,Gesture,SVO,1,,,Person,1
10,,,,,27,Intransitive,Girl tumbles,Gesture,SV,0,,,None,
10,,,,,28,Transitive,Girl kisses boy,Gesture,SVOV,1,,1,Person,
11,,,,,2,Intransitive,Star moves in circle,Speech,SV,0,0,,None,
11,,,,,3,Transitive,Old lady waves heart,Speech,SVO,1,0,,Object,
11,,,,,5,Transitive,Girl kisses boy,Speech,SVO,1,0,,Person,
11,,,,,6,Intransitive,Girl tumbles,Speech,SV,0,0,,None,
11,,,,,7,Transitive,Old lady pokes fireman,Speech,SVO,1,0,,Person,
11,,,,,8,Transitive,Fireman lifts car,Speech,SVO,1,0,,Object,
11,,,,,9,Transitive,Boy pokes heart,Speech,SVO,1,0,,Object,
11,,,,,10,Intransitive,Heart falls,Speech,SV,0,0,,None,
11,,,,,11,Intransitive,Fireman falls,Speech,SV,0,0,,None,
11,,,,,12,Intransitive,Star jumps,Speech,SV,0,0,,None,
11,,,,,13,Transitive,Girl throws old lady,Speech,SVO,1,0,,Person,
11,,,,,14,Transitive,Old lady rubs fireman,Speech,SVO,1,0,,Person,
11,,,,,15,Transitive,Old lady kisses star,Speech,SVO,1,0,,Object,
11,,,,,16,Transitive,Fireman kicks girl,Speech,SVO,1,0,,Person,
11,,,,,17,Intransitive,Boy skates,Speech,SV,0,0,,None,
11,,,,,18,Transitive,Girl elbows old lady,Speech,SV,0,0,,Person,
11,,,,,19,Intransitive,Ball rolls,Speech,SV,0,0,,None,
11,,,,,20,Transitive,Fireman throws star,Speech,SVO,1,0,,Object,
11,,,,,21,Transitive,Boy lifts girl,Speech,SVO,1,0,,Person,
11,,,,,22,Transitive,Girl rubs heart,Speech,SVO,1,0,,Object,
11,,,,,23,Intransitive,Car tumbles,Speech,SV,0,0,,None,
11,,,,,24,Transitive,Old lady elbows ball,Speech,SVO,1,0,,Object,
11,,,,,25,Transitive,Fireman pushes boy,Speech,SVO,1,0,,Person,
11,,,,,26,Intransitive,Old lady jumps,Speech,SV,0,0,,None,
11,,,,,27,Transitive,Girl pushes car,Speech,SVO,1,0,,Object,
11,,,,,28,Transitive,Boy kicks ball,Speech,SVO,1,0,,Object,
11,,,,,2,Intransitive,Star moves in circle,Gesture,SV,0,,,None,
11,,,,,3,Transitive,Old lady waves heart,Gesture,SOV,1,1,,Object,1
11,,,,,5,Transitive,Girl kisses boy,Gesture,SV,1,,1,Person,
11,,,,,6,Intransitive,Girl tumbles,Gesture,SV,0,,,None,
11,,,,,7,Transitive,Old lady pokes fireman,Gesture,SV,1,,1,Person,
11,,,,,8,Transitive,Fireman lifts car,Gesture,VO,1,,,Object,
11,,,,,9,Transitive,Boy pokes heart,Gesture,OV,1,1,,Object,
11,,,,,10,Intransitive,Heart falls,Gesture,SV,0,,,None,
11,,,,,11,Intransitive,Fireman falls,Gesture,SV,0,,,None,
11,,,,,12,Intransitive,Star jumps,Gesture,SV,0,,,None,
11,,,,,13,Transitive,Girl throws old lady,Gesture,SOVO,1,,1,Person,
11,,,,,14,Transitive,Old lady rubs fireman,Gesture,SV,1,,1,Person,
11,,,,,15,Transitive,Old lady kisses star,Gesture,OSV,1,1,,Object,
11,,,,,16,Transitive,Fireman kicks girl,Gesture,SVO,1,,,Person,
11,,,,,17,Intransitive,Boy skates,Gesture,SV,0,,,None,
11,,,,,18,Transitive,Girl elbows old lady,Gesture,SVO,1,,,Person,
11,,,,,19,Intransitive,Ball rolls,Gesture,SV,0,,,None,
11,,,,,20,Transitive,Fireman throws star,Gesture,OV,1,1,,Object,1
11,,,,,21,Transitive,Boy lifts girl,Gesture,SVO,1,,,Person,
11,,,,,22,Transitive,Girl rubs heart,Gesture,SOV,1,1,,Object,1
11,,,,,23,Intransitive,Car tumbles,Gesture,SVS,0,,,None,
11,,,,,24,Transitive,Old lady elbows ball,Gesture,SVO,1,,,Object,
11,,,,,25,Transitive,Fireman pushes boy,Gesture,SVOV,1,,1,Person,
11,,,,,26,Intransitive,Old lady jumps,Gesture,SV,0,,,None,
11,,,,,27,Transitive,Girl pushes car,Gesture,SV+OV,1,,,Object,
11,,,,,28,Transitive,Boy kicks ball,Gesture,SV+OV,1,,,Object,
12,F,,,,2,Intransitive,Star moves in circle,Verbal,SV,0,0,,None,
12,,,,,3,Transitive,Old lady waves heart,Verbal,SVO,1,0,,Object,
12,,,,,5,Transitive,Boy kicks ball,Verbal,SVO,1,0,,Object,
12,,,,,6,Transitive,Girl pushes car,Verbal,SVO,1,0,,Object,
12,,,,,7,Intransitive,Old lady jumps,Verbal,SV,0,0,,None,
12,,,,,8,Transitive,Fireman pushes boy,Verbal,SVO,1,0,,Person,
12,,,,,9,Transitive,Old lady elbows ball,Verbal,SVO,1,0,,Object,
12,,,,,10,Intransitive,Car tumbles,Verbal,SV,0,0,,None,
12,,,,,11,Transitive,Girl rubs heart,Verbal,SVO,1,0,,Object,
12,,,,,12,Transitive,Boy lifts girl,Verbal,SVO,1,0,,Person,
12,,,,,13,Transitive,Fireman throws star,Verbal,SVO,1,0,,Object,
12,,,,,14,Intransitive,Ball rolls,Verbal,SV,0,0,,None,
12,,,,,15,Transitive,Girl elbows old lady,Verbal,SVO,1,0,,Person,
12,,,,,16,Intransitive,Boy skates,Verbal,SV,0,0,,None,
12,,,,,17,Transitive,Fireman kicks girl,Verbal,SVO,1,0,,Person,
12,,,,,18,Transitive,Old lady kisses star,Verbal,SVO,1,0,,Object,
12,,,,,19,Transitive,Old lady rubs fireman,Verbal,SVO,1,0,,Person,
12,,,,,20,Transitive,Girl throws old lady,Verbal,SVO,1,0,,Person,
12,,,,,21,Intransitive,Star jumps,Verbal,SV,0,0,,None,
12,,,,,22,Intransitive,Fireman falls,Verbal,SV,0,0,,None,
12,,,,,23,Intransitive,Heart falls,Verbal,SV,0,0,,None,
12,,,,,24,Transitive,Boy pokes heart,Verbal,SVO,1,0,,Object,
12,,,,,25,Transitive,Fireman lifts car,Verbal,SVO,1,0,,Object,
12,,,,,26,Transitive,Old lady pokes fireman,Verbal,SVO,1,0,,Person,
12,,,,,27,Intransitive,Girl tumbles,Verbal,SV,0,0,,None,
12,,,,,28,Transitive,Girl kisses boy,Verbal,SVO,1,0,,Person,
12,,,,,2,Intransitive,Star moves in circle,Gesture,SV,0,,,None,
12,,,,,3,Transitive,Old lady waves heart,Gesture,OV,1,1,,Object,1
12,,,,,5,Transitive,Boy kicks ball,Gesture,V,1,,1,Object,
12,,,,,6,Transitive,Girl pushes car,Gesture,V,1,,1,Object,
12,,,,,7,Intransitive,Old lady jumps,Gesture,SV,0,,,None,
12,,,,,8,Transitive,Fireman pushes boy,Gesture,SVO,1,,,Person,
12,,,,,9,Transitive,Old lady elbows ball,Gesture,SOV,1,1,,Object,1
12,,,,,10,Intransitive,Car tumbles,Gesture,SV,0,,,None,
12,,,,,11,Transitive,Girl rubs heart,Gesture,SOV,1,1,,Object,1
12,,,,,12,Transitive,Boy lifts girl,Gesture,SVO,1,,,Person,
12,,,,,13,Transitive,Fireman throws star,Gesture,SOV,1,1,,Object,1
12,,,,,14,Intransitive,Ball rolls,Gesture,SV,0,,,None,
12,,,,,15,Transitive,Girl elbows old lady,Gesture,SVO,1,,,Person,
12,,,,,16,Intransitive,Boy skates,Gesture,SV,0,,,None,
12,,,,,17,Transitive,Fireman kicks girl,Gesture,SVO,1,,,Person,
12,,,,,18,Transitive,Old lady kisses star,Gesture,SOV,1,1,,Object,1
12,,,,,19,Transitive,Old lady rubs fireman,Gesture,OSV,1,1,,Person,
12,,,,,20,Transitive,Girl throws old lady,Gesture,SVO,1,,,Person,
12,,,,,21,Intransitive,Star jumps,Gesture,SV,0,,,None,
12,,,,,22,Intransitive,Fireman falls,Gesture,SV,0,,,None,
12,,,,,23,Intransitive,Heart falls,Gesture,SV,0,,,None,
12,,,,,24,Transitive,Boy pokes heart,Gesture,SOV,1,1,,Object,1
12,,,,,25,Transitive,Fireman lifts car,Gesture,SOV,1,1,,Object,1
12,,,,,26,Transitive,Old lady pokes fireman,Gesture,OSV,1,1,,Person,
12,,,,,27,Intransitive,Girl tumbles,Gesture,SV,0,,,None,
12,,,,,28,Transitive,Girl kisses boy,Gesture,SVO,1,,,Person,
,,,,,,,,,,,,,,
21,,,,,2,Intransitive,Star moves in circle,Gesture,SV,,,1,None,
21,,,,,3,Transitive,Old lady waves heart,Gesture,,,0,1,Object,
21,,,,,5,Transitive,Boy kicks ball,Gesture,SV,,0,1,Object,
21,,,,,6,Transitive,Girl pushes car,Gesture,SV,,0,1,Object,
21,,,,,7,Intransitive,Old lady jumps,Gesture,SV,,,,None,
21,,,,,8,Transitive,Fireman pushes boy,Gesture,SVO,,0,,Person,
21,,,,,9,Transitive,Old lady elbows ball,Gesture,SOV,,0,,Object,
21,,,,,10,Intransitive,Car tumbles,Gesture,SV,,,,None,
21,,,,,11,Transitive,Girl rubs heart,Gesture,SOV,,1,,Object,
21,,,,,12,Transitive,Boy lifts girl,Gesture,SVO,,0,,Person,
21,,,,,13,Transitive,Fireman throws star,Gesture,SOV,,1,,Object,
21,,,,,14,Intransitive,Ball rolls,Gesture,SV,,,,None,
21,,,,,15,Transitive,Girl elbows old lady,Gesture,SVO,,0,,Person,
21,,,,,16,Intransitive,Boy skates,Gesture,SV,,,,None,
21,,,,,17,Transitive,Fireman kicks girl,Gesture,SVO,,0,,Person,
21,,,,,18,Transitive,Old lady kisses star,Gesture,SVO,,0,,Object,
21,,,,,19,Transitive,Old lady rubs fireman,Gesture,SVO,,0,,Person,
21,,,,,20,Transitive,Girl throws old lady,Gesture,SVO,,0,,Person,
21,,,,,21,Intransitive,Star jumps,Gesture,SV,,,,None,
21,,,,,22,Intransitive,Fireman falls,Gesture,SV,,,,None,
21,,,,,23,Intransitive,Heart falls,Gesture,SV,,,,None,
21,,,,,24,Transitive,Boy pokes heart,Gesture,SVO,,0,,Object,
21,,,,,25,Transitive,Fireman lifts car,Gesture,SVO,,0,,Object,
21,,,,,26,Transitive,Old lady pokes fireman,Gesture,SVO,,0,,Person,
21,,,,,27,Intransitive,Girl tumbles,Gesture,SV,,,,None,
21,,,,,28,Transitive,Girl kisses boy,Gesture,SVO,,0,,Person,
22,,,,,2,Intransitive,Star moves in circle,Gesture,,,,,None,
22,,,,,3,Transitive,Old lady waves heart,Gesture,SOV,,1,,Object,
22,,,,,5,Transitive,Boy kicks ball,Gesture,SVO,,0,,Object,
22,,,,,6,Transitive,Girl pushes car,Gesture,SVO,,0,,Object,
22,,,,,7,Intransitive,Old lady jumps,Gesture,SV,,,,None,
22,,,,,8,Transitive,Fireman pushes boy,Gesture,SVO,,0,,Person,
22,,,,,9,Transitive,Old lady elbows ball,Gesture,SVO,,0,,Object,
22,,,,,10,Intransitive,Car tumbles,Gesture,SV,,,,None,
22,,,,,11,Transitive,Girl rubs heart,Gesture,SVO,,0,,Object,
22,,,,,12,Transitive,Boy lifts girl,Gesture,SVO,,0,,Person,
22,,,,,13,Transitive,Fireman throws star,Gesture,SVO,,0,,Object,
22,,,,,14,Intransitive,Ball rolls,Gesture,SV,,,,None,
22,,,,,15,Transitive,Girl elbows old lady,Gesture,SVO,,0,,Person,
22,,,,,16,Intransitive,Boy skates,Gesture,SV,,,,None,
22,,,,,17,Transitive,Fireman kicks girl,Gesture,SVO,,0,,Person,
22,,,,,18,Transitive,Old lady kisses star,Gesture,SVO,,0,,Object,
22,,,,,19,Transitive,Old lady rubs fireman,Gesture,SVO,,0,,Person,
22,,,,,20,Transitive,Girl throws old lady,Gesture,SVO,,0,,Person,
22,,,,,21,Intransitive,Star jumps,Gesture,SV,,,,None,
22,,,,,22,Intransitive,Fireman falls,Gesture,SV,,,,None,
22,,,,,23,Intransitive,Heart falls,Gesture,SV,,,,None,
22,,,,,24,Transitive,Boy pokes heart,Gesture,SVO,,1,,Object,
22,,,,,25,Transitive,Fireman lifts car,Gesture,SVO,,1,,Object,
22,,,,,26,Transitive,Old lady pokes fireman,Gesture,SVO,,0,,Person,
22,,,,,27,Intransitive,Girl tumbles,Gesture,SV,,,,None,
22,,,,,28,Transitive,Girl kisses boy,Gesture,SVO,,0,,Person,
23,,,,,2,Intransitive,Star moves in circle,Gesture,V,,,1,None,
23,,,,,3,Transitive,Old lady waves heart,Gesture,V,,,1,Object,
23,,,,,5,Transitive,Girl kisses boy,Gesture,V,,,1,Person,
23,,,,,6,Intransitive,Girl tumbles,Gesture,V,,,1,None,
23,,,,,7,Transitive,Old lady pokes fireman,Gesture,V,,,1,Person,
23,,,,,8,Transitive,Fireman lifts car,Gesture,V,,,1,Object,
23,,,,,9,Transitive,Boy pokes heart,Gesture,OV,,1,,Object,
23,,,,,10,Intransitive,Heart falls,Gesture,V,,,1,None,
23,,,,,11,Intransitive,Fireman falls,Gesture,V,,,1,None,
23,,,,,12,Intransitive,Star jumps,Gesture,V,,,1,None,
23,,,,,13,Transitive,Girl throws old lady,Gesture,V,,,1,Person,
23,,,,,14,Transitive,Old lady rubs fireman,Gesture,OV,,1,,Person,
23,,,,,15,Transitive,Old lady kisses star,Gesture,OV,,1,,Object,
23,,,,,16,Transitive,Fireman kicks girl,Gesture,V,,,1,Person,
23,,,,,17,Intransitive,Boy skates,Gesture,V,,,1,None,
23,,,,,18,Transitive,Girl elbows old lady,Gesture,V,,,1,Person,
23,,,,,19,Intransitive,Ball rolls,Gesture,V,,,1,None,
23,,,,,20,Transitive,Fireman throws star,Gesture,OV,,1,,Object,
23,,,,,21,Transitive,Boy lifts girl,Gesture,V,,,1,Person,
23,,,,,22,Transitive,Girl rubs heart,Gesture,OV,,1,,Object,
23,,,,,23,Intransitive,Car tumbles,Gesture,V,,,1,None,
23,,,,,24,Transitive,Old lady elbows ball,Gesture,V,,,1,Object,
23,,,,,25,Transitive,Fireman pushes boy,Gesture,V,,,1,Person,
23,,,,,26,Intransitive,Old lady jumps,Gesture,V,,,1,None,
23,,,,,27,Transitive,Girl pushes car,Gesture,V,,,1,Object,
23,,,,,28,Transitive,Boy kicks ball,Gesture,V,,,1,Object,
24,,,,,2,Intransitive,Star moves in circle,Gesture,SV,,,,None,
24,,,,,3,Transitive,Old lady waves heart,Gesture,SOV,,1,,Object,
24,,,,,5,Transitive,Girl kisses boy,Gesture,SOSV,,,,Person,
24,,,,,6,Intransitive,Girl tumbles,Gesture,SV,,,,None,
24,,,,,7,Transitive,Old lady pokes fireman,Gesture,SVO,,1,,Person,
24,,,,,8,Transitive,Fireman lifts car,Gesture,SVOVO,,1,1,Object,
24,,,,,9,Transitive,Boy pokes heart,Gesture,SOV,,1,,Object,
24,,,,,10,Intransitive,Heart falls,Gesture,SV,,,,None,
24,,,,,11,Intransitive,Fireman falls,Gesture,SV,,,,None,
24,,,,,12,Intransitive,Star jumps,Gesture,SV,,,,None,
24,,,,,13,Transitive,Girl throws old lady,Gesture,SVO,,1,,Person,
24,,,,,14,Transitive,Old lady rubs fireman,Gesture,SOSV,,1,,Person,
24,,,,,15,Transitive,Old lady kisses star,Gesture,OSV,,1,,Object,
24,,,,,16,Transitive,Fireman kicks girl,Gesture,VSVO,,1,1,Person,
24,,,,,17,Intransitive,Boy skates,Gesture,VS,,,,None,
